epoch,train_loss,val_loss,train_ppl,val_ppl,val_bleu
1,6.054479570786511,5.5909084725192635,426.01713598894304,267.97896068414104,0.46714666216137835
2,5.1040572984498205,5.336014731243403,164.68874499512816,207.68338473966588,1.070053010790478
3,4.6665944821647765,5.1366631136465015,106.33499938216025,170.14705859125928,1.8778301528194306
4,4.280721871788661,4.936917976203858,72.29260716970313,139.34013747317456,2.9816223284271226
5,3.9312556675133568,4.803624262740181,50.97094005660566,121.95160219916767,4.065648166630071
6,3.6144375140666325,4.686607952792235,37.13045469222096,108.48457020681174,5.475454660287694
7,3.3226980930866437,4.5857900532274,27.73508152935576,98.08064547047793,7.164389584653999
8,3.0747465987407994,4.546710735164775,21.644396499208675,94.32164862761952,7.792367892046946
9,2.8527770074644065,4.488001103085433,17.335856861232255,88.94347922322609,8.770039002248225
10,2.654571594873473,4.44725666990719,14.218893307554156,85.39236294372108,10.246282912040089
11,2.4709767069290445,4.4260655275766565,11.83399955829054,83.60183984607477,9.98719815316076
12,2.3031027784505866,4.379368935637468,10.005178194787831,79.7876663615226,10.886121463522358
13,2.1384276700971117,4.379891678727703,8.486084209685698,79.82938571610119,11.307041499595499
14,1.9953666563382044,4.391485247012608,7.354899253994727,80.76027891063097,12.030540469741855
15,1.8714605972277727,4.3851228129582775,6.497780111276195,80.24807811160302,12.530858326829172
16,1.7630310578539332,4.389482841133135,5.830081955751678,80.59872585468761,12.641072973420135
17,1.659502496869294,4.416099199649327,5.256694971592852,82.77277472469288,13.0388130540063
18,1.5664449796588193,4.412346722220732,4.789590799330035,82.46275379289666,13.466914464989626
19,1.491536945583852,4.417898272584986,4.443920336709978,82.92182301768285,13.705188190968482
20,1.4171172933298046,4.422654867118724,4.125211508787893,83.31718805793716,14.225262426561233
