epoch,train_loss,val_loss,train_ppl,val_ppl,val_bleu
1,7.583485693958816,6.347183511251741,1965.468059109494,570.8825582903623,0.0574715903440394
2,5.908821543029179,5.632414614149541,368.2719069921228,279.3357921298901,0.4111945575663279
3,5.263540501470467,5.086368951167495,193.16418011747336,161.80128575578286,2.1782780469835563
4,4.689283522896484,4.710966133962732,108.7752169290828,111.15950301458071,5.398821625518109
5,4.1856411964363245,4.4333156417877095,65.73563686268075,84.21016528298675,5.93793279526816
6,3.735191891948441,4.220881854591717,41.89606430920502,68.09350639142414,12.567219749113708
7,3.359662113622788,4.053247679827697,28.779465047039267,57.58416863447395,13.452782163498057
8,3.029696659869985,3.9127536953174444,20.690955240298962,50.03654784540938,19.034189755484437
9,2.764409924740432,3.962583812684296,15.86967292587803,52.593041109042574,20.481379523394956
10,2.5572427767959454,3.9377091841708554,12.900199505568029,51.30094557001329,20.66620568917799
11,2.4011548621758245,4.054424058820772,11.035913983773396,57.65194930084865,20.44107964633613
12,2.2477836472049484,3.991116537347198,9.466730952234103,54.11527737255964,24.449088955954267
13,2.098199541682577,3.9022619514639123,8.151480292020045,49.51432152489777,25.74710538939573
14,1.9848650648096084,3.9836127378674466,7.278065252072254,53.71072691337772,26.299505843502462
15,1.8958531832730314,3.9026648945851856,6.658226669610642,49.53427700035152,26.457178063650794
16,1.82102653226381,3.9054310921384423,6.178197314677999,49.67148828545948,26.492704515823007
17,1.7685769906611262,3.846912692728238,5.862505023512322,46.848204931842446,27.152497948828824
18,1.713273581101052,3.8308180179302678,5.5470906388755825,46.10023363205737,27.732439239177516
19,1.676217388599012,3.853047715395621,5.345298495166631,47.13650318492533,27.579477893149427
20,1.640485239508088,3.873903467008899,5.157671611162439,48.1298933293047,28.770900225671024
